Week,Attendance,Decisions,Predictions,Reward
0,71,0,0.45515275,2
1,75,0,-0.03539128,2
2,63,0,-0.272564,2
3,73,0,-0.5823334,2
4,69,0,-0.18481314,2
5,54,0,-0.45476854,2
6,68,0,0.4632261,2
7,53,0,-0.22896294,2
8,60,0,-0.9742267,2
9,72,0,0.13862231,2
10,64,0,0.25612113,2
11,59,0,0.23960838,2
12,65,0,-0.64533865,2
13,68,0,1.5368305,2
14,63,0,-0.1354517,2
15,76,0,-0.13278887,2
16,73,0,-0.44926125,2
17,66,0,0.106407896,2
18,61,0,0.45052668,2
19,75,1,-1.1390597,2
20,66,0,-0.9322917,2
21,78,0,-0.1356994,2
22,71,0,-0.7046476,2
23,80,0,-0.3439834,2
24,58,0,-0.21140756,2
25,74,0,-0.562122,2
26,72,0,-0.47309375,2
27,50,0,-1.1186999,2
28,67,0,0.28652456,2
29,64,0,-0.41542238,2
30,65,0,-0.6554301,2
31,75,1,-0.48277244,2
32,73,0,-0.41260278,2
33,70,0,-0.21664345,2
34,62,0,0.11899783,2
35,76,0,0.5622504,2
36,73,0,0.2453223,2
37,77,0,-1.1073629,2
38,67,0,-0.0071096565,2
39,65,0,-0.5486772,2
40,76,0,-0.2506802,2
41,80,0,0.3856254,2
42,52,0,-0.4996045,2
43,70,0,-0.18591444,2
44,54,0,-0.45129997,2
45,58,0,-0.7928877,2
46,77,0,-0.66052645,2
47,61,0,0.50723225,2
48,62,0,1.0678338,2
49,58,0,0.9373271,2
50,71,0,-0.47241423,2
51,59,0,0.46680647,2
52,52,0,-0.4721216,2
53,76,0,-1.0730349,2
54,59,0,-0.021793729,2
55,53,0,-1.7646171,2
56,68,0,1.1267476,2
57,77,0,0.28464475,2
58,65,0,-0.18189241,2
59,52,0,-0.8202056,2
60,56,0,-0.9544341,2
61,68,0,0.05238932,2
62,53,0,0.68312377,2
63,68,0,0.96504784,2
64,78,0,0.33118713,2
65,64,0,-0.30157682,2
66,80,0,-0.5655241,2
67,68,0,-1.1599176,2
68,78,0,-0.031412985,2
69,64,0,-0.41108975,2
70,68,0,0.7472743,2
71,61,0,0.8234802,2
72,74,0,0.82408524,2
73,74,0,0.21902658,2
74,54,0,1.9309825,2
75,62,0,0.6080241,2
76,55,0,0.3723882,2
77,54,0,0.0932155,2
78,69,0,-0.18917221,2
79,58,0,0.80677134,2
80,55,1,-0.13786146,2
81,65,0,0.42600694,2
82,74,0,0.5445491,2
83,59,1,-2.088157,2
84,76,0,0.32223415,2
85,77,0,-0.59460384,2
86,70,0,-0.94219685,2
87,72,0,-0.22945802,2
88,66,1,-0.14304645,2
89,64,0,-0.41625333,2
90,69,0,-0.24767233,2
91,60,0,-0.1723503,2
92,57,0,-0.36841857,2
93,68,0,0.07145396,2
94,69,1,-0.053302966,2
95,65,0,-0.80895764,2
96,62,0,-0.6101245,2
97,80,0,-0.56801236,2
98,53,0,-0.046872348,2
99,80,1,0.0018434344,2
